cam_index,rtp_seq,transit_ms
0,14038,452.2099
0,14039,454.5469
0,14403,364.9671
0,14404,364.9950
0,14763,405.9150
0,14764,418.9939
0,15124,410.1989
0,15125,410.5241
0,15497,382.5860
0,15498,382.8571
0,15868,359.7760
0,15869,359.8130
0,16234,368.5570
0,16235,368.7520
0,16567,360.7171
0,16568,360.7912
0,16901,357.9109
0,16902,358.1500
0,17264,395.1101
0,17265,395.1390
0,17641,370.3971
0,17642,370.5389
0,18012,386.8752
0,18013,387.3122
0,18386,413.2540
0,18387,413.8391
0,18803,363.4150
0,18804,363.4229
0,19208,395.2129
0,19209,395.3919
0,19596,363.2140
0,19597,363.2460
0,19978,375.0541
0,19979,375.6292
0,20351,364.9220
0,20352,364.9600
0,20724,368.2430
0,20725,369.0569
0,21103,365.5510
0,21104,365.6681
0,21478,367.3260
0,21479,367.9080
0,21845,380.8570
0,21846,381.2830
0,22212,383.1451
0,22213,383.5530
0,22591,361.7780
0,22592,361.8388
0,22965,377.5589
0,22966,377.7101
0,23337,356.6082
0,23338,357.3561
0,23714,435.4429
0,23715,436.3420
0,24076,362.4570
0,24077,362.4930
0,24420,383.3270
0,24421,383.6012
0,24764,366.4639
0,24765,366.5318
0,25104,363.2300
0,25105,376.3740
1,11369,453.4659
1,11370,453.9161
1,12174,375.7939
1,12175,375.8142
1,12869,368.4220
1,12870,368.6168
1,13586,371.6819
1,13587,372.3149
1,14315,386.9109
1,14316,387.8911
1,15076,416.3411
1,15077,419.9679
1,15833,364.6729
1,15834,366.3349
1,16589,396.6599
1,16590,396.9789
1,17341,367.3751
1,17342,367.6031
1,18097,363.8580
1,18098,364.0718
1,18850,363.1761
1,18851,363.1880
1,19597,386.5299
1,19598,386.8551
1,20344,372.9000
1,20345,372.8640
1,21083,361.6450
1,21084,361.7952
1,21824,381.5908
1,21825,381.7480
1,22560,404.2931
1,22561,405.0100
2,14015,474.8490
2,14016,477.6530
2,14716,425.3030
2,14717,426.1580
2,15440,398.8109
2,15441,399.1380
2,16158,378.1812
2,16159,378.4921
2,16855,361.8839
2,16856,361.8541
2,17574,420.8460
2,17575,421.2301
2,18338,442.3139
2,18339,442.8859
2,19112,393.1890
2,19113,393.3690
2,19876,414.0971
2,19877,414.3000
2,20622,436.7549
2,20623,437.4468
2,21380,395.6420
2,21381,395.9708
2,22128,398.2260
2,22129,398.4370
2,22872,403.0690
2,22873,404.8829
2,23618,442.1699
2,23619,442.3201
2,24352,436.2590
2,24353,445.0529
2,25098,401.9980
2,25099,407.7640
